LOCATION,POPULATION,AREA
Comuna 1,205886,"17,37484135191"
Constitución,44107,"2,10299626809"
Monserrat,39914,"2,19801197209"
Puerto Madero,6726,"5,02541"
Retiro,65413,"4,5267746889"
San Nicolás,29273,"2,28964590462"
San Telmo,20453,"1,23200251821"
Comuna 2,157932,"6,29198926318"
Recoleta,157932,"6,29198926318"
Comuna 3,187537,"6,38636905159"
Balvanera,138926,"4,34265791551"
San Cristobal,48611,"2,04371113608"
Comuna 4,218245,"21,69585927425"
Barracas,89452,"7,95779178687"
Boca,45113,"5,02299175014"
Nueva Pompeya,42695,"4,9713788858"
Parque Patricios,40985,"3,74369685144"
Comuna 5,179005,"6,66017043586"
Almagro,131699,"4,05039640476"
Boedo,47306,"2,6097740311"
Comuna 6,176076,"6,85103413149"
Caballito,176076,"6,85103413149"
Comuna 7,220591,"12,42529376938"
Flores,164310,"8,59319196843"
Parque Chacabuco,56281,"3,83210180095"
Comuna 8,187237,"22,29474541317"
Lugano,126374,"9,29070612211"
Villa Riachuelo,14084,"4,27130454669"
Villa Soldati,46779,"8,73273474437"
Comuna 9,161797,"16,50423884578"
Liniers,44132,"4,37518483534"
Mataderos,64436,"7,39473409365"
Parque Avellaneda,53229,"4,73431991679"
Comuna 10,166022,"12,6397350366"
Floresta,37575,"2,32054685805"
Monte Castro,33623,"2,62748131616"
Velez Sarsfield,35081,"2,40075874389"
Versalles,13822,"1,40424272991"
Villa Luro,32502,"2,56670231516"
Villa Real,13419,"1,32000307343"
Comuna 11,189832,"14,09100551188"
Santa Rita,33325,"2,15370106613"
Villa del Parque ,55273,"3,40001917415"
Villa Devoto,66521,"6,37501199859"
Villa Gral Mitre,34713,"2,16227327301"
Comuna 12,200116,"15,56121131071"
Coghlan,18604,"1,27997230992"
Saavedra,50295,"5,53384924212"
Villa Pueyrredón,39654,"3,29831089786"
Villa Urquiza,91563,"5,44907886081"
Comuna 13,231331,"14,57743674077"
Belgrano,126831,"7,93795917701"
Colegiales,52551,"2,2897819561"
Nuñez,51949,"4,34969560766"
Comuna 14,225970,"15,7754505011"
Palermo,225970,"15,7754505011"
Comuna 15,182574,"14,3224472548"
Agronomía,13912,"2,12224184983"
Chacarita,27761,"3,11831014119"
Parque Chas,17489,"1,38506861474"
Paternal,19717,"2,22963376832"
Villa Crespo,81959,"3,61331616845"
Villa Ortuzar,21736,"1,85387671227"
