LOCATION,AREA,POPULATION
Provincia de Buenos Aires,307 571,15 625 084
Provincia de Santa Cruz,243 943,273 964
Provincia del Chubut,224 686,509 108
Provincia de Río Negro,203 013,638 645
Provincia de Córdoba,165 321,3 308 876
Provincia de Salta,155 488,1 214 441
Provincia de Mendoza,148 827,1 738 929
Provincia de La Pampa,143 440,318 951
Provincia de Santiago del Estero,136 351,874 006
Provincia de Santa Fe,133 007,3 194 537
Provincia de Catamarca,102 602,367 828
Provincia del Chaco,99 633,1 055 259
Provincia del Neuquén,94 078,551 266
Provincia de La Rioja,89 680,333 642
Provincia de San Juan,89 651,681 055
Provincia de Corrientes,88 199,992 595
Provincia de Entre Ríos,78 781,1 235 994
Provincia de San Luis,76 748,432 310
Provincia de Formosa,72 066,530 162
Provincia de Jujuy,53 219,673 307
Provincia de Misiones,29 801,1 101 593
Provincia de Tucumán,22524,1 448 188
Provincia de Tierra del Fuego,21478,127 205
Ciudad Autónoma de Buenos Aires,202,2 890 151
